Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Ingestor,4317,5661,0,10329,1773.13,0.000%,66.69138,22.86,30.22,351.0
TOTAL,4317,5661,0,10329,1773.13,0.000%,66.69138,22.86,30.22,351.0
