Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Ingestor,4317,5661,5250,8450,8963,9955,504,10329,0.000%,66.69138,22.86,30.22
TOTAL,4317,5661,5250,8450,8963,9955,504,10329,0.000%,66.69138,22.86,30.22
