Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
search,3313,7682,7589,9389,9666,10380,754,11462,0.000%,51.68648,30.34,12.11
TOTAL,3313,7682,7589,9389,9666,10380,754,11462,0.000%,51.68648,30.34,12.11
